대피장소명,세부위치명,수용인원,도로명주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
북내당우행복센터,1층 다목적실/2층 프로그램실,258,경기 여주시 북내면 여양2로 311-11 (당우리),37.32982103,127.6776185,2024,화학사고,031-887-3952,경기도 여주시 북내면,2024-08-14
홍성공업고등학교,기계과 실습동 3층,476,충청남도 홍성군 결성면 구성남로 55(읍내리),36.530566,126.548909,2021,화학사고,041-630-1456,충청남도 홍성군 지역개발국 환경과,2023-07-28
홍주문화체육센터,본관,6195,충청남도 홍성군 홍성읍 홍덕서로 78(소향리),36.608113,126.641701,2021,화학사고,041-630-1456,충청남도 홍성군 지역개발국 환경과,2023-07-28
개웅산생활체육관,2층 대체육관,412,시서울특별 구로구 개봉로3길 108-20(개봉동),37.48532952,126.8497164,2021,화학사고,02-860-2875,서울특별시 구로구 스마트환경국 환경과,2022-09-20
구로구민체육센터,2층대체육관 3층다목적실 유도장,2024,시서울특별 구로구 고척로45길 39(고척동),37.50668779,126.8532419,2021,화학사고,02-860-2875,서울특별시 구로구 스마트환경국 환경과,2022-09-20
조양초등학교,실내 체육관,933,강원특별자치도 속초시 동해대로 3965 (조양동),38.1884251,128.5979677,2023,화학사고,033-639-2149,강원특별자치도 속초시청 경제복지국 친환경정책과,2025-08-14
매포읍행정복지센터,회의실,581,충북 단양군 매포읍 평동14길 12 (평동리),37.03232151,128.3034122,2023,화학사고,043-420-2664,충청북도 단양군 매포읍,2025-08-14
보은고등학교,강당,1000,충청북도 보은군 보은읍 보은로 17(죽전리),36.47449,127.72143,2021,화학사고,043-540-3532,충청북도 보은군 환경위생과,2021-09-17
금광1동 행정복지센터,강당(3층),471,경기 성남시 중원구 광명로 328 (금광동),37.44507574,127.162441,2025,화학사고,031-729-3172,경기도 성남시 환경보건국 환경정책과,2025-05-18
양지동 행정복지센터,강당(4층),520,경기 성남시 수정구 산성대로 483 (양지동),37.45490106,127.1609619,2025,화학사고,031-729-3172,경기도 성남시 환경보건국 환경정책과,2025-05-19
산성 실내배드민턴장,배드민턴장(1층),3857,경기 성남시 수정구 수정로456번길 19 (산성동),37.46046146,127.1556532,2025,화학사고,031-729-3172,경기도 성남시 환경보건국 환경정책과,2025-05-21
금곡공원 국민체육센터,다목적체육관 및 GX룸(2층),1423,경기 성남시 분당구 금곡로 302 (정자동),37.35716138,127.1097356,2025,화학사고,031-729-3172,경기도 성남시 환경보건국 환경정책과,2025-05-21
용문초등학교,강당,383,부산광역시 남구 신선로 542 (용호동),35.1305958,129.1080823,2021,화학사고,051-607-4641,부산광역시 남구 안전도시국 안전총괄과,2021-09-28
동천고등학교,강당,464,부산 남구 못골번영로 105 (대연동),35.14433722,129.0868043,1987,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
문현초등학교,강당,254,부산 남구 고동골로 86-13 (문현동),35.14531277,129.0729368,1977,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
창녕군민체육관,체육관,1266,경상남도 창녕군 창녕읍 창녕대로 307(퇴천리),35.519811,128.506492,2023,화학사고,055-530-1613,경상남도 창녕군 관광환경국 환경위생과,2023-01-01
신안군민체육관,체육관,2545,전라남도 신안군 압해읍 복룡로 120 (학교리),34.87483,126.31251,2021,화학사고,061-240-8154,전라남도 신안군 문화예술관광국 세계유산과,2021-09-30
분포고등학교,강당,419,부산 남구 분포로 57 (용호동),35.1298198,129.1153463,2003,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
분포중학교,강당,313,부산 남구 분포로 51 (용호동),35.12952407,129.114431,2002,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
분포초등학교,강당,301,부산 남구 분포로 41 (용호동),35.12891273,129.1139761,2002,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
양주국민체육센터,체육관,1214,경기 양주시 고읍남로 172 (광사동),37.78853532,127.0838533,2025,화학사고,031-8082-6313,경기도 양주시 환경안전국 환경정책과,2025-08-18
오륙도초등학교,강당,376,부산 남구 오륙도로 57 (용호동),35.10423905,129.1161864,2008,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
용호종합사회복지관,강당,974,부산 남구 이기대공원로 7 (용호동),35.12456401,129.1134812,1996,화학사고,051-607-3389,부산광역시 남구 복지교육국 복지정책과,2025-06-13
은현복지회관,다목적실,338,경기 양주시 은현면 은현로55번길 24-23 (선암리),37.87488211,127.0224425,2024,화학사고,031-8082-6313,경기도 양주시 환경안전국 환경정책과,2024-08-21
감악르네상스센터,강당,604,경기 양주시 남면 개나리13길 13 (신산리),37.89692556,126.9744012,2024,화학사고,031-8082-6313,경기도 양주시 환경안전국 환경정책과,2024-08-21
계동초등학교,교실 강당,3507,경상남도 김해시 계동로 96(대청동),35.18502281,128.7956492,2021,화학사고,055-330-2734,경상남도 김해시 환경국 환경정책과,2021-09-30
덕정초등학교,강당,635,경상남도 김해시 대청로 31(관동동),35.17793031,128.7986793,2021,화학사고,055-330-2734,경상남도 김해시 환경국 환경정책과,2021-09-30
망천2구경로당,경로당,152,경상남도 김해시 한림면 김해대로1499번길 14-1(신천리),35.27816358,128.8371462,2021,화학사고,055-330-2734,경상남도 김해시 환경국 환경정책과,2021-09-30
시례마을회관,본관,236,경상남도 김해시 대동면 대동로417번길 84-4(예안리),35.24518641,128.9615262,2021,화학사고,055-330-2734,경상남도 김해시 환경국 환경정책과,2021-09-30
한림면행정복지센터,본관,2909,경상남도 김해시 한림면 한림로 369(장방리),35.32058161,128.8021747,2021,화학사고,055-330-2734,경상남도 김해시 환경국 환경정책과,2021-09-30
신연초등학교,강당,131,부산 남구 유엔로25번길 66 (우암동),35.1292856,129.0779704,1983,화학사고,051-607-3398,부산광역시 남구 복지교육국 복지정책과,2025-06-13
옥정호수스포츠센터,체육관,1372,경기 양주시 옥정동로7길 110 (옥정동),37.82276906,127.0950121,2025,화학사고,031-8082-6313,경기도 양주시 환경안전국 환경정책과,2025-08-18
대구대서초등학교,강당,900,대구광역시 달서구 송현로 9(상인동),35.819872,128.549951,2021,화학사고,053-667-2605,대구광역시 달서구 문화환경국 기후환경과,2022-04-19
주천면행정복지센터,주천면행정복지센터,113,전북특별자치도 진안군 주천면 동상주천로 2213 (주양리),35.97524223,127.4254228,2021,화학사고,063-430-2524,전북특별자치도 진안군 안전환경국 환경과,2025-08-18
안천면행정복지센터,안천면행정복지센터,212,전북특별자치도 진안군 안천면 진무로 2998 (노성리),35.89722152,127.5528815,2021,화학사고,063-430-2524,전북특별자치도 진안군 안전환경국 환경과,2025-08-18
성수면행정복지센터,성수면행정복지센터,321,전북특별자치도 진안군 성수면 관진로 783 (외궁리),35.70858983,127.3232519,2021,화학사고,063-430-2524,전북특별자치도 진안군 안전환경국 환경과,2025-08-18
부귀면행정복지센터,부귀면행정복지센터,92,전북특별자치도 진안군 부귀면 부귀로 305-7 (거석리),35.83731174,127.360434,2021,화학사고,063-430-2524,전북특별자치도 진안군 안전환경국 환경과,2024-08-27
마령면행정복지센터,마령면행정복지센터,192,전북특별자치도 진안군 마령면 솔안2길 8 (평지리),35.7344658,127.3708032,2021,화학사고,063-430-2524,전북특별자치도 진안군 안전환경국 환경과,2025-08-18
남구다목적체육관,지상1층,2684,광주광역시 남구 화산로 110(진월동),35.1140897,126.9086252,2021,화학사고,062-607-2841,광주광역시 남구 자치행정국 주민자치과,2025-08-18
불로초등학교,강당,198,광주 남구 제석로80번길 58-5 (봉선동),35.1209505,126.9141156,2005,화학사고,062-650-1802,광주광역시교육청 광주광역시서부교육지원청 불로초등학교병설유치원,2025-08-18
광주무진중학교,강당,278,광주 남구 중앙로 7 (월산동),35.14596075,126.8997305,2001,화학사고,062-350-5300,광주광역시교육청 광주광역시서부교육지원청 광주무진중학교,2025-08-18
진제초등학교,강당,197,광주 남구 서문대로654번길 45 (진월동),35.11565077,126.9031537,2009,화학사고,062-717-3905,광주광역시교육청 광주광역시서부교육지원청 진제초등학교,2025-08-18
오류왕길동 행정복지센터,5층 대강당,333,인천 서구 봉화로 42 (왕길동),37.59701626,126.6376311,2025,화학사고,032-560-4354,인천광역시 서구 환경국 환경관리과,2025-08-18
청라2동 행정복지센터,3층 대회의실,467,인천 서구 청라커낼로 269 (청라동),37.53264597,126.644168,2025,화학사고,032-560-4354,인천광역시 서구 환경국 환경관리과,2025-08-18
석남2동 행정복지센터,3층 회의실,128,인천 서구 거북로 116 (석남동),37.50250466,126.6746007,2025,화학사고,032-560-4354,인천광역시 서구 환경국 환경관리과,2025-08-18
청라3동 행정복지센터,4층 대회의실,566,인천 서구 청라한내로 89 (청라동),37.53333539,126.6270221,2025,화학사고,032-560-4354,인천광역시 서구 환경국 환경관리과,2025-08-18
가좌여자중학교,강당,138,인천 서구 서달로 110 (석남동),37.50856018,126.6793052,2021,화학사고,032-560-4354,인천광역시 서구 환경국 환경관리과,2025-08-18
오산종합사회복지관,복지회관,78,경기 오산시 현충로 104 (오산동),37.15997401,127.0774067,2005,화학사고,031-8036-7403,경기도 오산시 복지교육국 희망복지과,2025-05-22
용인시청소년수련원,강당,320,경기 용인시 처인구 양지면 죽양대로2071번길 50 (평창리),37.21442476,127.3136233,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
강남대학교,목양관 체육관,1060,경기 용인시 기흥구 강남로 40 (구갈동),37.27412539,127.1320999,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
명지대학교 자연캠퍼스,체육관(7번건물),5046,경기 용인시 처인구 명지로 116 (남동),37.22180726,127.1901837,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
백암면 행정복지센터,대회의실,327,경기 용인시 처인구 백암면 백암로 189 (백암리),37.16344367,127.3753817,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
기흥동 행정복지센터,대회의실,173,경기 용인시 기흥구 고매로43번길 12-14 (공세동),37.23152534,127.1155439,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
상하동 행정복지센터,대회의실,73,경기 용인시 기흥구 어정로 62-23 (상하동),37.27051314,127.1383972,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
보정동 행정복지센터,대강당,133,경기 용인시 기흥구 죽전로 40 (보정동),37.32018859,127.1130928,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
풍덕천1동 행정복지센터,대회의실,236,경기 용인시 수지구 수지로342번길 3 (풍덕천동),37.32795741,127.0950287,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
풍덕천2동 행정복지센터,대회의실,129,경기 용인시 수지구 풍덕천로 51 (풍덕천동),37.31946228,127.0887777,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
신봉동 행정복지센터,다목적회의실,191,경기 용인시 수지구 수지로 215 (신봉동),37.32066575,127.0836395,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
동천동 행정복지센터,대회의실,96,경기 용인시 수지구 신수로783번길 40 (동천동),37.34181687,127.0992209,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
상현1동 행정복지센터,대회의실,231,경기 용인시 수지구 상현로 71 (상현동),37.30462736,127.0811467,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
성복동 행정복지센터,대회의실,153,경기 용인시 수지구 성복1로 100 (성복동),37.31648737,127.0690037,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
구성동 행정복지센터,회의실,223,경기도 용인시 기흥구 구성로77번길 17 (언남동),37.29676402,127.1189815,2023,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2024-05-30
용인미르스타디움,다목적홀,1618,경기도 용인시 처인구 동백죽전대로 61 (삼가동),37.24963097,127.165158,2024,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2024-05-31
상현2동 행정복지센터,회의실,93,경기 용인시 수지구 만현로 48 (상현동),37.31036044,127.0865294,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
역북동 행정복지센터,소회의실,163,경기 용인시 처인구 명지로 16 (역북동),37.23455978,127.1881482,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
죽전2동 행정복지센터,대회의실,175,경기 용인시 수지구 포은대로 523 (죽전동),37.32591208,127.1067432,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
중앙동 행정복지센터,대회의실,424,경기 용인시 처인구 금령로90번길 3-20 (김량장동),37.23491703,127.2076723,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
대청초등학교,다목적강당,352,경기 용인시 수지구 죽전로 276 (죽전동),37.33418826,127.1290495,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
동천초등학교,체육관,324,경기 용인시 수지구 고기로 71 (동천동),37.34461156,127.0933932,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
상하초등학교,다목적실,288,경기 용인시 기흥구 중부대로788번길 27 (상하동),37.25702806,127.1405398,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
신봉중학교,승리관,1269,경기 용인시 수지구 신봉3로 43 (신봉동),37.32765756,127.0643811,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
초당고등학교,정직관(다목적체육관),1013,경기 용인시 기흥구 동백중앙로 21 (중동),37.25870064,127.1629188,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
양산동 행정복지센터,행정복지센터,1120,광주광역시 북구 양산택지로 32 (양산동),35.209149,126.879745,2021,화학사고,062-410-6472,광주광역시 북구 환경생태국 기후환경과,2025-08-18
용봉동 행정복지센터,행정복지센터,117,광주광역시 북구 용주로18번길 28 (용봉동),35.18041,126.901199,2021,화학사고,062-410-6472,광주광역시 북구 환경생태국 기후환경과,2025-08-18
일곡동 행정복지센터,행정복지센터,1364,광주광역시 북구 설죽로 525 (일곡동),35.2060222,126.8973427,2023,화학사고,062-410-6472,광주광역시 북구 환경생태국 기후환경과,2025-08-18
오치1동 행정복지센터,행정복지센터,740,광주광역시 북구 우치로274번길 48 (오치동),35.1891288,126.9081383,2023,화학사고,062-410-6472,광주광역시 북구 환경생태국 기후환경과,2025-08-18
상갈동 행정복지센터,대회의실,307,경기도 용인시 기흥구 상갈로 2(상갈동),37.26659947,127.1076885,2022,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2024-05-27
부천배드민턴전용체육관,체육관,1881,경기도 부천시 소사구 은성로2번길 6 (소사본동),37.47518866,126.7904231,2024,화학사고,032-625-3161,경기도 부천시 경제환경국 환경정책과,2025-08-20
양지면 행정복지센터,집회실,368,경기도 용인시 처인구 양지면 양지로105번길 5 (양지리),37.23547599,127.2798428,2022,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2024-05-27
죽전1동 행정복지센터,다목적실,247,경기도 용인시 수지구 대지로15번길 50 (죽전동),37.331037,127.113927,2022,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2024-05-27
원삼면 행정복지센터,대회의실,288,경기도 용인시 처인구 원삼면 원양로 64 (고당리),37.16658943,127.3132646,2023,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2024-05-27
남사읍 행정복지센터,대회의실,161,경기 용인시 처인구 남사읍 내기로 22 (봉무리),37.11568157,127.1505036,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
동부동 행정복지센터,대회의실,153,경기 용인시 처인구 중부대로 1574 (마평동),37.23277029,127.219174,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
성복고등학교,3층 성덕관,876,경기 용인시 수지구 도마치로 92 (성복동),37.32335942,127.0613925,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
청덕초등학교,물푸레관,762,경기 용인시 기흥구 구성1로 61 (청덕동),37.29439648,127.1492572,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
모현읍 행정복지센터,대회의실/소회의실,462,경기 용인시 처인구 모현읍 독점로 31-6 (갈담리),37.32953302,127.2423619,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
영덕1동 행정복지센터,대강당,214,경기 용인시 기흥구 흥덕2로118번길 2 (영덕동),37.27782133,127.0745334,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
서농동 행정복지센터,대강당,264,경기 용인시 기흥구 서천서로 79 (서천동),37.23797804,127.0683832,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
동백2동 행정복지센터,다목적회의실,155,경기 용인시 기흥구 동백중앙로 214 (중동),37.27253257,127.1516873,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-07-14
삼가초등학교,다목적강당,591,경기 용인시 처인구 중부대로1158번길 45 (삼가동),37.23677176,127.1702844,2025,화학사고,031-6193-2244,경기도 용인시 기후환경위생국 기후대기과,2025-03-30
풍천풍서초등학교,강당,444,경상북도 안동시 풍천면 풍요5길 9(갈전리),36.574824,128.49935,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
풍천중학교,강당,266,경상북도 안동시 풍천면 풍요5길 14(갈전리),36.574936,128.500803,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
풍산초등학교,강당,303,경상북도 안동시 풍산읍 하리들길 32(하리리),36.576521,128.573723,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
한국생명과학고등학교,강당(청비관),873,경상북도 안동시 하이마로 385(옥동),36.550372,128.686232,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
안동영호초등학교,강당,332,경상북도 안동시 옥서4길 8(옥동),36.56052,128.691498,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
안동여자고등학교,강당,1872,경상북도 안동시 법상윗3길 32(법상동),36.572527,128.726372,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
안동여자중학교,강당,420,경상북도 안동시 법상윗3길 30-42 (법상동),36.573125,128.72805,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
길주중학교,강당,552,경상북도 안동시 경동로 931(용상동),36.555639,128.758824,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
임하초등학교,본관,578,경상북도 안동시 임하면 앞산밑길 9(신덕리),36.52648,128.8281,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
임동초등학교,본관,949,경상북도 안동시 임동면 편항길 42(중평리),36.570117,128.920759,2019,화학사고,054-840-5283,경상북도 안동시 수자원환경국 환경관리과,2025-08-20
삼성생활예술고등학교,강당,449,경상북도 경주시 내남면 이조중앙길 27 (이조리),35.752104,129.199164,2021,화학사고,054-779-6373,경상북도 경주시 환경녹지국 환경정책과,2021-09-14
산대초등학교,강당,1099,경상북도 경주시 안강읍 구부랑길 54-5,36.00290855,129.1976933,2023,화학사고,054-779-6373,경상북도 경주시 환경녹지국 환경정책과,2023-11-30
옥산초등학교,강당,555,경상북도 경주시 안강읍 낙헌2길 48 (옥산리),35.99525803,129.1696889,2024,화학사고,054-779-6373,경상북도 경주시 환경녹지국 환경정책과,2024-02-01
송림초등학교,학교,200,충청남도 서천군 장항읍 옥도로 14(옥산리),36.0293473,126.6838442,2021,화학사고,041-950-4332,충청남도 서천군 안전건설국 환경보호과,2023-08-07
서천군민체육관,학교,642,충청남도 서천군 장항읍 성화로 26-6(화천리),36.016399,126.685585,2023,화학사고,041-950-4332,충청남도 서천군 안전건설국 환경보호과,2023-08-07
